# T   E/N   |M|/N   Cv/N   Chi/N
2.100000  -1.661534  0.865790  1.039242  2.611080
2.105000  -1.656882  0.865501  0.991035  1.206070
2.110000  -1.648837  0.854314  1.116327  4.232386
2.115000  -1.648131  0.860495  1.030136  1.315914
2.120000  -1.642930  0.857226  1.052656  1.447507
2.125000  -1.636504  0.852668  1.076976  1.474869
2.130000  -1.630616  0.848373  1.109836  2.047925
2.135000  -1.624814  0.843225  1.127064  2.762358
2.140000  -1.617998  0.836660  1.193715  3.543209
2.145000  -1.616165  0.840634  1.102727  1.623882
2.150000  -1.609476  0.835062  1.155862  2.245702
2.155000  -1.600038  0.822599  1.288543  4.947712
2.160000  -1.596876  0.826605  1.212450  2.116716
2.165000  -1.593212  0.823165  1.232930  3.191530
2.170000  -1.585200  0.818277  1.259483  2.550045
2.175000  -1.581950  0.816931  1.233332  2.399427
2.180000  -1.574299  0.809715  1.327938  2.763064
2.185000  -1.565888  0.798912  1.368446  4.954320
2.190000  -1.559353  0.797719  1.375183  3.567722
2.195000  -1.552589  0.789601  1.419917  4.849150
2.200000  -1.546611  0.785087  1.438407  5.002608
2.205000  -1.539608  0.778508  1.446521  4.907258
2.210000  -1.531711  0.771202  1.479512  5.131786
2.215000  -1.524933  0.765124  1.558831  6.609030
2.220000  -1.514254  0.745906  1.628549  10.420714
2.225000  -1.508411  0.743519  1.689432  10.385900
2.230000  -1.499767  0.732497  1.679585  10.029499
2.235000  -1.494965  0.734546  1.648741  7.932784
2.240000  -1.485407  0.720763  1.738690  10.614522
2.245000  -1.477433  0.711728  1.693775  10.172530
2.250000  -1.470496  0.704569  1.741484  12.129058
2.255000  -1.453696  0.663275  1.970967  19.599945
2.260000  -1.444526  0.652438  1.930539  19.509174
2.265000  -1.442524  0.665894  1.872231  15.879030
2.270000  -1.429872  0.638425  1.998727  19.648703
2.275000  -1.419138  0.624342  1.999534  21.021258
2.280000  -1.402704  0.580927  2.122728  28.128645
2.285000  -1.401906  0.595282  1.986841  23.811757
2.290000  -1.381937  0.550085  2.020324  27.255191
2.295000  -1.377183  0.540152  2.007729  29.722422
2.300000  -1.368461  0.535148  1.995103  26.456060
2.305000  -1.354482  0.498029  1.937605  30.149358
2.310000  -1.343766  0.477979  1.975546  31.406003
2.315000  -1.343220  0.498604  1.885834  27.582487
2.320000  -1.336094  0.480867  1.927356  30.551598
2.325000  -1.317232  0.426708  1.885796  31.908612
2.330000  -1.307645  0.413579  1.782480  30.163785
2.335000  -1.299945  0.391742  1.711310  30.794979
2.340000  -1.290192  0.374973  1.686006  30.005324
2.345000  -1.291190  0.404721  1.708602  28.388897
2.350000  -1.277359  0.359814  1.592687  27.806427
2.355000  -1.268606  0.351536  1.495542  25.502462
2.360000  -1.259350  0.328007  1.452808  25.091112
2.365000  -1.252064  0.315433  1.415746  24.566618
2.370000  -1.246628  0.307463  1.418348  23.513113
2.375000  -1.239594  0.313692  1.381661  22.165533
2.380000  -1.233299  0.290775  1.366380  23.397500
2.385000  -1.222371  0.264679  1.266683  20.398877
2.390000  -1.220617  0.267134  1.223361  19.673774
2.395000  -1.212731  0.264591  1.250779  19.931243
2.400000  -1.207362  0.252578  1.217503  18.900190
