# T   E/N   |M|/N   Cv/N   Chi/N
2.100000  -1.661079  0.863478  1.234789  9.330003
2.105000  -1.652000  0.837057  1.628745  51.881576
2.110000  -1.650540  0.852697  1.302438  21.264062
2.115000  -1.645819  0.854133  1.287182  9.934860
2.120000  -1.640948  0.852016  1.279372  8.707784
2.125000  -1.636343  0.848812  1.282764  10.086395
2.130000  -1.628042  0.828926  1.592208  39.792381
2.135000  -1.624734  0.841104  1.333891  8.570394
2.140000  -1.620234  0.841462  1.240816  3.686424
2.145000  -1.613682  0.827169  1.555716  24.691276
2.150000  -1.607492  0.820810  1.514883  30.015678
2.155000  -1.603426  0.830357  1.332238  4.033705
2.160000  -1.596906  0.824184  1.377512  5.735295
2.165000  -1.585740  0.776891  2.007255  88.071772
2.170000  -1.583379  0.804036  1.675883  25.993478
2.175000  -1.579027  0.811541  1.419605  4.487003
2.180000  -1.571635  0.794293  1.673025  33.079224
2.185000  -1.564321  0.792890  1.608503  14.064792
2.190000  -1.559830  0.796302  1.447212  5.042392
2.195000  -1.551408  0.781944  1.586264  14.522726
2.200000  -1.545052  0.780166  1.600959  9.948102
2.205000  -1.538779  0.777628  1.543524  7.058010
2.210000  -1.527405  0.741647  1.919630  49.070919
2.215000  -1.522818  0.754291  1.731168  19.866924
2.220000  -1.514988  0.748030  1.667191  11.154441
2.225000  -1.508248  0.738468  1.858670  26.856532
2.230000  -1.498848  0.718378  1.960979  45.136016
2.235000  -1.487652  0.700457  2.245069  41.926123
2.240000  -1.486588  0.722299  1.754155  14.484028
2.245000  -1.473312  0.688324  2.027736  41.607881
2.250000  -1.463282  0.674189  2.012949  31.404251
2.255000  -1.444672  0.593976  2.515235  104.065598
2.260000  -1.442079  0.636670  2.240971  37.994198
2.265000  -1.433984  0.622970  2.217654  47.910798
2.270000  -1.416755  0.567033  2.352334  69.059373
2.275000  -1.403286  0.523545  2.450663  91.435821
2.280000  -1.388010  0.459164  2.502188  121.334377
2.285000  -1.382041  0.462121  2.471201  101.586763
2.290000  -1.373969  0.447539  2.318555  97.004541
2.295000  -1.360877  0.388939  2.456071  122.439162
2.300000  -1.349706  0.375392  2.123545  105.367447
2.305000  -1.340502  0.357604  2.085792  96.191879
2.310000  -1.329109  0.318366  1.916490  91.658684
2.315000  -1.323486  0.316692  1.884689  92.442553
2.320000  -1.310629  0.272757  1.777450  82.353666
2.325000  -1.308397  0.293986  1.664174  78.310166
2.330000  -1.292764  0.205360  1.498442  56.339464
2.335000  -1.287214  0.227423  1.521439  57.973105
2.340000  -1.281111  0.221463  1.497317  59.714845
2.345000  -1.274279  0.216615  1.460769  52.935687
2.350000  -1.265716  0.195784  1.448485  48.540885
2.355000  -1.259731  0.182624  1.334534  40.850794
2.360000  -1.252632  0.168164  1.330661  35.931609
2.365000  -1.246075  0.170946  1.287019  39.297684
2.370000  -1.239458  0.147057  1.258050  33.222829
2.375000  -1.232627  0.147640  1.246208  33.494737
2.380000  -1.227198  0.138058  1.186837  26.173781
2.385000  -1.221457  0.141816  1.196167  29.597381
2.390000  -1.214101  0.131305  1.163824  25.119399
2.395000  -1.210616  0.136503  1.175474  26.137264
2.400000  -1.203892  0.120941  1.120599  22.014555
