# T   E/N   |M|/N   Cv/N   Chi/N
2.100000  -1.661108  0.867408  1.047152  1.677848
2.105000  -1.656173  0.862462  1.130217  3.911893
2.110000  -1.649480  0.853428  1.280825  9.184247
2.115000  -1.646233  0.857596  1.120001  3.315917
2.120000  -1.640825  0.854360  1.123066  2.723877
2.125000  -1.636578  0.850701  1.159756  5.390105
2.130000  -1.630418  0.845658  1.215580  5.104431
2.135000  -1.626565  0.845307  1.183895  3.444589
2.140000  -1.616868  0.819379  1.528901  30.224060
2.145000  -1.615463  0.838590  1.206768  2.318930
2.150000  -1.608473  0.831550  1.276310  4.587774
2.155000  -1.600811  0.816321  1.465669  17.432329
2.160000  -1.597106  0.822757  1.297619  6.550699
2.165000  -1.589789  0.817649  1.382507  5.622906
2.170000  -1.586374  0.818889  1.253334  2.705350
2.175000  -1.579263  0.811682  1.359198  4.549682
2.180000  -1.574089  0.808172  1.340179  5.386272
2.185000  -1.566299  0.799313  1.458100  7.520447
2.190000  -1.559798  0.797481  1.398088  3.788933
2.195000  -1.553196  0.787713  1.480479  8.213913
2.200000  -1.545274  0.782705  1.501571  7.446901
2.205000  -1.538596  0.773858  1.536652  7.732550
2.210000  -1.532464  0.772158  1.516775  6.497592
2.215000  -1.523403  0.758729  1.625881  9.882255
2.220000  -1.517712  0.756234  1.608493  7.206639
2.225000  -1.505943  0.730360  1.798807  19.840239
2.230000  -1.502497  0.739951  1.682653  10.429997
2.235000  -1.489612  0.715398  1.847312  16.752570
2.240000  -1.484260  0.715245  1.773555  12.368897
2.245000  -1.468260  0.671726  2.173539  34.241148
2.250000  -1.460854  0.670497  2.040058  27.961841
2.255000  -1.449785  0.651630  2.072807  26.077843
2.260000  -1.446289  0.649459  2.070741  31.249981
2.265000  -1.439526  0.653241  1.965925  21.529504
2.270000  -1.418735  0.582041  2.195777  51.679597
2.275000  -1.416419  0.599682  2.121024  37.187275
2.280000  -1.403403  0.559861  2.159611  51.696780
2.285000  -1.393895  0.551209  2.234244  48.090284
2.290000  -1.378013  0.500043  2.156716  55.093618
2.295000  -1.361317  0.441002  2.109926  64.036932
2.300000  -1.352079  0.425003  2.040214  61.057449
2.305000  -1.346314  0.423151  1.995516  60.203160
2.310000  -1.341763  0.425170  1.990730  62.050342
2.315000  -1.330563  0.398882  1.932310  57.055372
2.320000  -1.313784  0.325395  1.741320  57.472479
2.325000  -1.309962  0.340649  1.754102  55.956769
2.330000  -1.300622  0.314949  1.695550  57.169618
2.335000  -1.292769  0.314392  1.660871  47.779185
2.340000  -1.282800  0.282028  1.603188  49.034542
2.345000  -1.280067  0.289233  1.504504  45.881068
2.350000  -1.269316  0.257802  1.489372  43.572269
2.355000  -1.259557  0.225649  1.393288  36.752558
2.360000  -1.254504  0.241355  1.361113  35.825057
2.365000  -1.247643  0.217226  1.335454  31.658173
2.370000  -1.238752  0.212540  1.292908  32.690376
2.375000  -1.231632  0.189983  1.243317  26.548526
2.380000  -1.229302  0.204146  1.279852  30.405388
2.385000  -1.222082  0.189323  1.213537  26.711874
2.390000  -1.214471  0.172391  1.172568  23.206988
2.395000  -1.209759  0.180647  1.145791  23.679537
2.400000  -1.203557  0.171891  1.124794  21.203321
